country,measure,p,d,q,AIC,BIC,AICc,loglik
China,ASPR,0,0,1,453.81,458.39,454.61,-223.91
China,ASPR,0,0,2,415.98,422.08,417.36,-203.99
China,ASPR,0,1,0,366.73,368.23,366.86,-182.37
China,ASPR,0,1,1,333.49,336.48,333.89,-164.74
China,ASPR,0,1,2,311.26,315.75,312.08,-152.63
China,ASPR,0,2,0,319.22,320.68,319.35,-158.61
China,ASPR,0,2,1,297.98,300.91,298.4,-146.99
China,ASPR,0,2,2,293.64,298.04,294.5,-143.82
China,ASPR,1,0,0,385.14,389.72,385.94,-189.57
China,ASPR,1,0,1,351.46,357.56,352.84,-171.73
China,ASPR,1,0,2,328.96,336.6,331.11,-159.48
China,ASPR,1,1,0,329.8,332.79,330.2,-162.9
China,ASPR,1,1,1,308.95,313.44,309.77,-151.47
China,ASPR,1,1,2,303.71,309.7,305.14,-147.86
China,ASPR,1,2,0,306.7,309.63,307.11,-151.35
China,ASPR,1,2,1,295.73,300.13,296.59,-144.87
China,ASPR,1,2,2,301.37,307.24,302.85,-146.69
China,ASPR,2,0,0,342.11,348.22,343.49,-167.06
China,ASPR,2,0,1,321.61,329.25,323.76,-155.81
China,ASPR,2,0,2,318.16,327.31,321.27,-153.08
China,ASPR,2,1,0,309.36,313.85,310.19,-151.68
China,ASPR,2,1,1,303.7,309.69,305.13,-147.85
China,ASPR,2,1,2,305.6,313.08,307.82,-147.8
China,ASPR,2,2,0,301.21,305.61,302.07,-147.6
China,ASPR,2,2,1,296.61,302.47,298.09,-144.31
China,ASPR,2,2,2,296.92,304.25,299.23,-143.46
China,ASIR,0,0,1,273.99,278.56,274.79,-133.99
China,ASIR,0,0,2,236.11,242.21,237.49,-114.05
China,ASIR,0,1,0,191.59,193.08,191.71,-94.79
China,ASIR,0,1,1,159.59,162.59,159.99,-77.8
China,ASIR,0,1,2,139.66,144.15,140.48,-66.83
China,ASIR,0,2,0,149.47,150.93,149.6,-73.73
China,ASIR,0,2,1,131.14,134.07,131.55,-63.57
China,ASIR,0,2,2,128.04,132.43,128.89,-61.02
China,ASIR,1,0,0,204.64,209.21,205.44,-99.32
China,ASIR,1,0,1,172.28,178.39,173.66,-82.14
China,ASIR,1,0,2,151.66,159.29,153.8,-70.83
China,ASIR,1,1,0,154.74,157.73,155.14,-75.37
China,ASIR,1,1,1,136.88,141.37,137.71,-65.44
China,ASIR,1,1,2,133.54,139.52,134.97,-62.77
China,ASIR,1,2,0,138.0,140.94,138.42,-67.0
China,ASIR,1,2,1,129.68,134.07,130.53,-61.84
China,ASIR,1,2,2,129.99,135.86,131.47,-61.0
China,ASIR,2,0,0,161.69,167.8,163.07,-76.85
China,ASIR,2,0,1,144.54,152.17,146.68,-67.27
China,ASIR,2,0,2,142.49,151.65,145.6,-65.24
