country,sex,measure,year,projection,PI_lower,PI_upper,model
China,Both,ASDR,1990.0,372.48616837019154,372.1344296536533,372.83790708672984,BAPC
China,Both,ASDR,1991.0,372.78300825302796,372.43771419146987,373.12830231458605,BAPC
China,Both,ASDR,1992.0,373.0242111865582,372.68184322563525,373.3665791474821,BAPC
China,Both,ASDR,1993.0,373.3410948110841,373.0015510030867,373.68063861908144,BAPC
China,Both,ASDR,1994.0,373.5410781167253,373.20427549072133,373.87788074272936,BAPC
China,Both,ASDR,1995.0,373.9085295816483,373.57377674070176,374.2432824225948,BAPC
China,Both,ASDR,1996.0,373.2518945341678,372.91961801459956,373.58417105373604,BAPC
China,Both,ASDR,1997.0,371.92586496585903,371.59645617594,372.2552737557781,BAPC
China,Both,ASDR,1998.0,370.09743872301726,369.77124194971253,370.42363549632205,BAPC
China,Both,ASDR,1999.0,368.5850392004194,368.26214883130945,368.9079295695304,BAPC
China,Both,ASDR,2000.0,368.11558462082183,367.79504684223525,368.4361223994094,BAPC
China,Both,ASDR,2001.0,370.4259123768676,370.10654416200776,370.74528059172826,BAPC
China,Both,ASDR,2002.0,375.69577316433293,375.37636062464406,376.01518570402277,BAPC
China,Both,ASDR,2003.0,382.0100511863261,381.6902601189698,382.32984225368335,BAPC
China,Both,ASDR,2004.0,387.55301129947736,387.2331456635346,387.8728769354201,BAPC
China,Both,ASDR,2005.0,390.34487868454914,390.02569566869374,390.6640617004035,BAPC
China,Both,ASDR,2006.0,391.06619153092726,390.7483320430782,391.38405101877623,BAPC
China,Both,ASDR,2007.0,391.67290549360433,391.3561918148569,391.9896191723518,BAPC
China,Both,ASDR,2008.0,392.29233537605273,391.9765011850739,392.6081695670315,BAPC
China,Both,ASDR,2009.0,392.4294145168803,392.1142759802835,392.7445530534761,BAPC
China,Both,ASDR,2010.0,392.56984396366784,392.2549204417438,392.88476748559185,BAPC
China,Both,ASDR,2011.0,392.4568862575568,392.1421115707116,392.77166094440094,BAPC
China,Both,ASDR,2012.0,392.13482021741066,391.82021646828576,392.4494239665355,BAPC
