country,sex,measure,model,year,projection,PI_lower,PI_upper
China,Both,ASPR,ARIMA,2024,11217.527972972932,11178.417489651798,11256.638456294066
China,Both,ASPR,ARIMA,2025,10969.189577707133,10820.688996868865,11117.690158545402
China,Both,ASPR,ARIMA,2026,10720.851182441334,10409.434285359594,11032.268079523075
China,Both,ASPR,ARIMA,2027,10472.512787175536,9962.25930177622,10982.766272574852
China,Both,ASPR,ARIMA,2028,10224.174391909737,9485.099541267338,10963.249242552136
China,Both,ASPR,ARIMA,2029,9975.835996643938,8981.530039768384,10970.141953519493
China,Both,ASPR,ARIMA,2030,9727.49760137814,8454.060705391174,11000.934497365106
China,Both,ASPR,ARIMA,2031,9479.159206112341,7904.590053289703,11053.728358934979
China,Both,ASPR,ARIMA,2032,9230.820810846542,7334.622348560055,11127.01927313303
China,Both,ASPR,ARIMA,2033,8982.482415580744,6745.388741245128,11219.57608991636
China,Both,ASPR,ARIMA,2034,8734.144020314945,6137.921510443083,11330.366530186806
China,Both,ASPR,ARIMA,2035,8485.805625049146,5513.102637356497,11458.508612741796
China,Both,ASPR,ARIMA,2036,8237.467229783348,4871.697167793496,11603.2372917732
China,Both,ASPR,ARIMA,2037,7989.128834517549,4214.377015147587,11763.88065388751
China,Both,ASPR,ARIMA,2038,7740.79043925175,3541.7384722470315,11939.84240625647
China,Both,ASPR,ARIMA,2039,7492.452043985952,2854.3154259985477,12130.588661973356
China,Both,ASPR,ARIMA,2040,7244.113648720153,2152.589544879972,12335.637752560335
China,Both,ASPR,ARIMA,2041,6995.775253454354,1436.9982777306168,12554.55222917809
China,Both,ASPR,ARIMA,2042,6747.436858188556,707.9412343563499,12786.932482020762
China,Both,ASPR,ARIMA,2043,6499.098462922757,-34.21465363319476,13032.411579478709
China,Both,ASPR,ARIMA,2044,6250.760067656958,-789.1309071719661,13290.651042485882
China,Both,ASPR,ARIMA,2045,6002.4216723911595,-1556.4940019272044,13561.337346709523
China,Both,ASPR,ARIMA,2046,5754.083277125361,-2336.0124445899746,13844.178998840696
China,Both,ASPR,ARIMA,2047,5505.744881859562,-3127.414307468576,14138.9040711877
China,Both,ASPR,ARIMA,2048,5257.4064865937635,-3930.4451329290823,14445.25810611661
China,Both,ASPR,ARIMA,2049,5009.068091327965,-4744.866139247935,14763.002321903865
China,Both,ASPR,ARIMA,2050,4760.729696062166,-5570.452674315209,15091.912066439541
China,Both,ASPR,ARIMA,2051,4512.391300796367,-6406.992874823476,15431.775476416211
China,Both,ASPR,ARIMA,2052,4264.052905530569,-7254.286497107425,15782.392308168563
China,Both,ASPR,ARIMA,2053,4015.7145102647705,-8112.143892370645,16143.572912900185
China,Both,ASPR,ETS,2024,11338.668969263934,11273.440202187256,11403.897736340612
China,Both,ASPR,ETS,2025,11257.692890526432,11165.445483469719,11349.940297583145
China,Both,ASPR,ETS,2026,11176.71681178893,11063.73727309705,11289.696350480812
China,Both,ASPR,ETS,2027,11095.740733051429,10965.283198898074,11226.198267204783
China,Both,ASPR,ETS,2028,11014.764654313927,10868.908697041976,11160.620611585879
China,Both,ASPR,ETS,2029,10933.788575576426,10774.01137968771,11093.56577146514
China,Both,ASPR,ETS,2030,10852.812496838924,10680.233400826677,11025.39159285117
China,Both,ASPR,ETS,2031,10771.836418101422,10587.341603987996,10956.331232214849
China,Both,ASPR,ETS,2032,10690.86033936392,10495.174038133888,10886.546640593953
China,Both,ASPR,ETS,2033,10609.884260626419,10403.612787699514,10816.155733553323
China,Both,ASPR,ETS,2034,10528.908181888917,10312.56883595809,10745.247527819743
China,Both,ASPR,ETS,2035,10447.932103151416,10221.973025767653,10673.891180535178
China,Both,ASPR,ETS,2036,10366.956024413914,10131.770360083656,10602.141688744172
China,Both,ASPR,ETS,2037,10285.979945676412,10041.916247513806,10530.043643839019
China,Both,ASPR,ETS,2038,10205.00386693891,9952.373938357296,10457.633795520525
China,Both,ASPR,ETS,2039,10124.027788201409,9863.1127198947,10384.942856508118
China,Both,ASPR,ETS,2040,10043.051709463907,9774.106612977954,10311.99680594986
China,Both,ASPR,ETS,2041,9962.075630726406,9685.333409556266,10238.817851896545
China,Both,ASPR,ETS,2042,9881.099551988904,9596.773948089914,10165.425155887893
China,Both,ASPR,ETS,2043,9800.123473251402,9508.4115587075,10091.835387795305
China,Both,ASPR,ETS,2044,9719.1473945139,9420.231631896382,10018.063157131419
China,Both,ASPR,ETS,2045,9638.171315776399,9332.221278686098,9944.1213528667
China,Both,ASPR,ETS,2046,9557.195237038897,9244.369059665745,9870.02141441205
China,Both,ASPR,ETS,2047,9476.219158301396,9156.664766523967,9795.773550078824
China,Both,ASPR,ETS,2048,9395.243079563894,9069.099244180507,9721.386914947281
China,Both,ASPR,ETS,2049,9314.267000826392,8981.664244654816,9646.869756997969
China,Both,ASPR,ETS,2050,9233.29092208889,8894.352306013247,9572.229538164534
China,Both,ASPR,ETS,2051,9152.314843351389,8807.156651326897,9497.47303537588
China,Both,ASPR,ETS,2052,9071.338764613887,8720.07110373979,9422.606425487984
China,Both,ASPR,ETS,2053,8990.362685876386,8633.09001461492,9347.635357137851
China,Both,ASPR,APC,2024,11609.54338381775,11358.48278794741,11866.153261575073
China,Both,ASPR,APC,2025,11650.705476166537,11398.754735086286,11908.225174330799
China,Both,ASPR,APC,2026,11692.496686699997,11439.6421955004,11950.9401108948
China,Both,ASPR,APC,2027,11734.922732338808,11481.150762479943,11994.303914550888
China,Both,ASPR,APC,2028,11777.989429475223,11523.28612663557,12038.32253025311
China,Both,ASPR,APC,2029,11821.702695297874,11566.05407719456,12083.002005979826
China,Both,ASPR,APC,2030,11866.068549140282,11609.460503320155,12128.348494112035
China,Both,ASPR,APC,2031,11911.093113858838,11653.511395459753,12174.368252841805
China,Both,ASPR,APC,2032,11956.782617234516,11698.2128467163,12221.067647604974
